unique_id,type,state,town,clean_name,county,treated,townurl,confidence_level,ordinance,current_status,exclusion_method,excluded_groups,comments,match_assignment_method,centroid2020,contemporary_place_match,unique_place_matches,matching_cdp,matching_cousub,matching_county,PLACENHG,NAME1970,GJOIN1970,NAME1980,GJOIN1980,NAME1990,GJOIN1990,NAME2000,GJOIN2000,NAME2010,GJOIN2010,NAME2020,GJOIN2020,county_fips,COUNTY,NHGISCODE
00018,place,AZ,Duncan,Duncan,NA,1,https://justice.tougaloo.edu/sundowntown/duncan-az/,Surely,"Yes, Written Evidence",Probably,Violent Expulsion,Black,NA,Census fuzzy string match,NA,CDP:20750,CDP:20750,20750,NA,NA,G040207500,Duncan town,G0400085,Duncan town,G0400085,Duncan town,G04020750,Duncan town,G04020750,Duncan town,G04020750,Duncan town,G04020750,NA,NA,NA
00019,place,AZ,Globe,Globe,NA,1,https://justice.tougaloo.edu/sundowntown/globe-az/,Probable,"Perhaps, Some Oral Evidence",Don’t Know,Unknown,Asian,"According to Katherine Benton-Cohen, an Assistant Professor of History at Louisiana State University, Globe was a famous “white man’s camp” in the mid-1900s, which meant that no Chinese were allowed to work in the town, and often times Mexicans were also excluded. Need more information to nail down as sundown.",Census fuzzy string match,NA,CDP:28030,CDP:28030,28030,NA,NA,G040280300,Globe city,G0400145,Globe city,G0400145,Globe city,G04028030,Globe city,G04028030,Globe city,G04028030,Globe city,G04028030,NA,NA,NA
00020,place,AZ,Kingman,Kingman,NA,1,https://justice.tougaloo.edu/sundowntown/kingman-az/,Probable,NA,NA,NA,Black,Email 1/2008,Census fuzzy string match,NA,CDP:37620,CDP:37620,37620,NA,NA,G040376200,Kingman city,G0400185,Kingman city,G0400185,Kingman city,G04037620,Kingman city,G04037620,Kingman city,G04037620,Kingman city,G04037620,NA,NA,NA
00021,place,AZ,Prescott,Prescott,NA,1,https://justice.tougaloo.edu/sundowntown/prescott-az/,Probable,"Yes, Written Evidence","Probably Not, Although Still Very Few Black People",Unknown,Black,"A resident of Prescott said that there signs in
Prescott that read,”Ethnoid, don’t let the sun set on
you here.” There were also covenants against
selling property to “Ethnoids”, or ordinances
prohibiting “Ethnoids” from renting, owning, living
in certain communities, etc.",Census fuzzy string match,NA,CDP:57380,CDP:57380,57380,NA,NA,G040573800,Prescott city,G0400280,Prescott city,G0400280,Prescott city,G04057380,Prescott city,G04057380,Prescott city,G04057380,Prescott city,G04057380,NA,NA,NA
00022,place,AZ,Scottsdale,Scottsdale,NA,1,https://justice.tougaloo.edu/sundowntown/scottsdale-az/,Probable,"Yes, Strong Oral Tradition",Surely Not,Police or Other Official Action,Black,"According to a conversation between Scott Simon and Howard Bryant on National Public Radio’s “Talk of the Nation”, Scottsdale was the spring training camp for the Boston Red Sox. When Pumpsie Green finally joined the team in 1959, he was not housed in the hotel with the rest of the team, nor even anywhere in Scottsdale. The Red Sox claimed the hotel was full with tourists! But the problem was Scottsdale: “Blacks could not live there after dark, and so he was sent seventeen miles away to live in Phoenix.”",Census fuzzy string match,NA,CDP:65000,CDP:65000,65000,NA,NA,G040650000,Scottsdale city,G0400305,Scottsdale city,G0400305,Scottsdale city,G04065000,Scottsdale city,G04065000,Scottsdale city,G04065000,Scottsdale city,G04065000,NA,NA,NA
00023,place,AZ,Sun City,Sun,NA,1,https://justice.tougaloo.edu/sundowntown/sun-city-az/,Possible,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Unknown,"Sun City may be a retirement sundown community just west of Phoenix, don’t have enough information to nail down.",Census fuzzy string match,NA,CDP:70320,CDP:70320,70320,NA,NA,G040703200,Sun City CDP,G0400353,Sun City CDP,G0400351,Sun City CDP,G04070320,Sun City CDP,G04070320,Sun City CDP,G04070320,Sun City CDP,G04070320,NA,NA,NA
00024,place,AZ,Tucson,Tucson,NA,1,https://justice.tougaloo.edu/sundowntown/tucson-az/,Unlikely,"Yes, Written Evidence",Surely Not,Zoning,Jewish,"According to a resident of Tucson, restrictive
covenants against Jews and persons of color were in
place until the late 1990s in Tucson, but they were not
enforced.",Census fuzzy string match,NA,CDP:77000,CDP:77000,77000,NA,NA,G040770000,Tucson city,G0400380,Tucson city,G0400380,Tucson city,G04077000,Tucson city,G04077000,Tucson city,G04077000,Tucson city,G04077000,NA,NA,NA
00025,place,AZ,Youngtown,Youngtown,NA,1,https://justice.tougaloo.edu/sundowntown/youngtown-az/,Possible,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Unknown,More information is needed about Youngtown.,Census fuzzy string match,NA,CDP:85400,CDP:85400,85400,NA,NA,G040854000,Youngtown town,G0400412,Youngtown town,G0400412,Youngtown town,G04085400,Youngtown town,G04085400,Youngtown town,G04085400,Youngtown town,G04085400,NA,NA,NA
00026,place,AR,Alix,Alix,NA,1,https://justice.tougaloo.edu/sundowntown/alix-ar/,Probable,Don't Know,Probably,Unknown,Black,"Alix is too small to be included in the census, but
zip code 72820 (which includes Alix) shows 185
residents total, none of them black. A security officer
has seen a sundown sign there.",Census fuzzy string match,NA,CDP:00730,CDP:00730,00730,NA,NA,G050007300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00027,place,AR,Altus,Altus,NA,1,https://justice.tougaloo.edu/sundowntown/altus-ar/,Probable,Don't Know,Probably,Unknown,Black,"Altus is best known as the setting for the first season
of the TV show the Simple Life, which starred Paris
Hilton and Nicole Ritchie. Nicole’s father is African-
American singer Lionel Ritchie.",Census fuzzy string match,NA,CDP:01210,CDP:01210,01210,NA,NA,G050012100,Altus city,G0500045,Altus city,G0500045,Altus city,G05001210,Altus city,G05001210,Altus city,G05001210,Altus city,G05001210,NA,NA,NA
00028,place,AR,Amity,Amity,NA,1,https://justice.tougaloo.edu/sundowntown/amity-ar/,Probable,Don't Know,Probably,Threat of Violence,Black,"In the early 1900s, a man named T.W.
Rosborough “arranged to meet with civic leaders
from the town of Amity, located… directly east of
the timberlands that the company would buy. To
these men he described his plans for building a
lumber manufacturing plant, stating that he would
like to buy land at Amity for the mill. The town
would benefit from having mill workers who would
spend their wages with the local merchants.
“‘We would rather you not locate here,’ the town
leaders told Rosborough. ‘We do not want a
sawmill. We won’t sell you land to build a mill.’
They did not want transient mill workers, nor did
they want blacks.
There were no black people in Amity, only a
lingering hostility said to have stemmed from an
incident in the past when a black person %u2014 or
someone having Nero ancestry %u2014 had caused
trouble there while masquerading as a white.” So
Rosborough built his mill and a town (Rosboro) four
miles north of Amity.
Whites in the area (Amity) threatened
Rosborough’s black workers. “Blacks were to work
only at the mill, not in the logging operation, for
loggers had to live in camps in the woods where
blacks would be even more vulnerable to harm from
neighboring whites. The first black emlooyees to
arrive at Rosboro had to live in tents. Since threats
kept circulating, Rosborough built a high board
fence around them, with gates that could be locked
against intruders, and employed trustworthy white
men to stand guard over the compound at night.
After a while the threats died down and the
workmen and their families moved into the new
houses in Rosboro’s black neighborhood,” Nigger
Town.
“One night, men on horses rode through Rosboro
and dropped leaflets saying that the blacks were to
get out, or they would get hurt. Rosborough
promptly called the leaders of the black community
into the lumber company office and handed them
several rifles. If any outsider came into the Quarters
to harm the blacks, he told them, they were to
protect themselves. (‘Old Man Rosborough didn’t go
for that, beatin’ his niggers,’ says a white who
worked at Rosboro.) In time the furor died down,
but the blacks long remembered what Rosborough
had done for them.
“Rosborough, however, remained a person of his
own time; he never attempted to change the
prevailing separation of the races. He did feel
responsible for protecting his black employees, one
reason being that he wanted the best sawmill men
he could find, regardless of color… One Rosboro
resident recalls, ‘The niggers done most of the
stacking of the lumber. Most of the work they done
was drudgery work that white people wouldn’t do.’
That was true, but as a lumber journalist once
explained, ‘There has never been as precise a
separation of jobs into “white man’s job” and
“Negro job” in the lumber industry as in many other
industries.’ Rosborough realized that employing
blacks made economic sense, but he also liked
black people.”",Census fuzzy string match,NA,CDP:01360,CDP:01360,01360,NA,NA,G050013600,Amity city,G0500055,Amity city,G0500055,Amity city,G05001360,Amity city,G05001360,Amity city,G05001360,Amity city,G05001360,NA,NA,NA
00029,place,AR,Ash Flat,Ash Flat,NA,1,https://justice.tougaloo.edu/sundowntown/ash-flat-ar/,Probable,Don't Know,Probably,Unknown,Black,NA,Census fuzzy string match,NA,CDP:02470,CDP:02470,02470,NA,NA,G050024700,Ash Flat city,G0500080,Ash Flat city,G0500080,Ash Flat city,G05002470,Ash Flat city,G05002470,Ash Flat city,G05002470,Ash Flat city,G05002470,NA,NA,NA
00030,place,AR,Bauxite,Bauxite,NA,1,https://justice.tougaloo.edu/sundowntown/bauxite-ar/,Probable,Don't Know,Probably,Unknown,Black,NA,Census fuzzy string match,NA,CDP:04090,CDP:04090,04090,NA,NA,G050040900,NA,NA,Bauxite town,G0500131,Bauxite town,G05004090,Bauxite town,G05004090,Bauxite town,G05004090,Bauxite town,G05004090,NA,NA,NA
00031,county,AR,Baxter County,Baxter County,05005,1,https://justice.tougaloo.edu/sundowntown/baxter-county-ar/,Probable,NA,NA,NA,Black,"Email 11/2007:
According to a researcher at the Butler Center in Little Rock, “We have heard from a reliable source that, during the whole junior college push in Arkansas, when seemingly ever county was trying to set one up, voters in Baxter County turned down such an initiative for fear that such a college would attract black students.",Census fuzzy string match,NA,county:05005,county:05005,NA,NA,05005,NA,NA,G0500050,NA,G0500050,NA,G0500050,NA,G0500050,NA,G0500050,NA,G0500050,NA,Baxter County,G0500050
00032,place,AR,Black Rock,Black Rock,NA,1,https://justice.tougaloo.edu/sundowntown/black-rock-ar/,Probable,Don't Know,Probably,Unknown,Black,"Index for the Arkansas Gazette, you find: %u201CNegroes leave Black Rock%u201D (1/17/1894)",Census fuzzy string match,NA,CDP:06700,CDP:06700,06700,NA,NA,G050067000,Black Rock city,G0500210,Black Rock city,G0500210,Black Rock city,G05006700,Black Rock city,G05006700,Black Rock city,G05006700,Black Rock city,G05006700,NA,NA,NA
00033,place,AR,Bonanza,Bonanza,NA,1,https://justice.tougaloo.edu/sundowntown/bonanza-ar/,Surely,Don't Know,Probably,Violent Expulsion,Black,"According to the The Encyclopedia of Arkansas History and Culture, a race riot occurred in Bonanza at the beginning of the 20th century: “The Bonanza Race War of 1904 was a race riot/labor war that occurred in the coal-mining city of Bonanza (Sebastian County) and resulted in the expulsion of African Americans from the city following several days of violence. On the night of Saturday, April 30, however, tensions exploded when black and white patrons of Clinton%u2019s Saloon traded shots outside the establishment. This led to a city-wide exchange of bullets; the Fort Smith Times reported that %u201Cas many as 500 shots were fired during the night.%u201D The Arkansas Gazette reported on May 7 that nearly all African Americans had left the city. By 1930, the township in which Bonanza is located recorded no African-American residents, and it was still all white as of the 2000 Census.”",Census fuzzy string match,NA,CDP:07540,CDP:07540,07540,NA,NA,G050075400,Bonanza city,G0500235,Bonanza city,G0500235,Bonanza city,G05007540,Bonanza city,G05007540,Bonanza city,G05007540,Bonanza city,G05007540,NA,NA,NA
00034,place,AR,Booneville,Booneville,NA,1,https://justice.tougaloo.edu/sundowntown/booneville-ar/,Surely,Don't Know,Probably,Violence Towards NewcomersUnknown,Black,"“One summer night in 1965, 12-year-old Carolyn Wagner watched as Klansmen bound a young black man to a tree in her father’s field, accused him of violating the “sundown” rules in nearby Booneville, Ark., that forbade blacks from staying in town after dark, and lashed him a few times with a bullwhip as he cried out in pain and fear.
It was no different from beatings at other Klan gatherings her father had attended, but what happened next remains vivid in her memory: the Klansmen decided to tie the man to the railroad tracks below the pasture. When they were done, they ambled back to the field to discuss crops and politics. Wagner, a reluctant witness to her father’s Klan meetings, couldn’t stand it anymore. She stole down to the tracks, used a knife she kept in her boot to slash the rope that bound the man, and told him he could follow the tracks to Fort Smith, the nearest large town.” — Sonie Sherr, %u201CChildren of Hate Fighting Back Against Racist Parents,%u201D Southern Poverty Law Center, splcenter.org/get-informed/intelligence-report/browse-all-issues/2009/winter/children-of-hate, 2/2010.",Census fuzzy string match,NA,CDP:07720,CDP:07720,07720,NA,NA,G050077200,Booneville city,G0500245,Booneville city,G0500245,Booneville city,G05007720,Booneville city,G05007720,Booneville city,G05007720,Booneville city,G05007720,NA,NA,NA
00035,place,AR,Bradford,Bradford,NA,1,https://justice.tougaloo.edu/sundowntown/bradford-ar/,Probable,Don't Know,Probably,Unknown,Black,NA,Census fuzzy string match,NA,CDP:08260,CDP:08260,08260,NA,NA,G050082600,Bradford city,G0500250,Bradford city,G0500250,Bradford city,G05008260,Bradford city,G05008260,Bradford city,G05008260,Bradford city,G05008260,NA,NA,NA
00036,place,AR,Brookland,Brookland,NA,1,https://justice.tougaloo.edu/sundowntown/brookland-ar/,Probable,Don't Know,Probably,Unknown,Black,NA,Census fuzzy string match,NA,CDP:09100,CDP:09100,09100,NA,NA,G050091000,Brookland city,G0500275,Brookland city,G0500275,Brookland city,G05009100,Brookland city,G05009100,Brookland city,G05009100,Brookland city,G05009100,NA,NA,NA
00037,place,AR,Cabot,Cabot,NA,1,https://justice.tougaloo.edu/sundowntown/cabot-ar/,Possible,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Black,"The town had a black community until
World War II, but it is unclear whether they moved
voluntarily.",Census fuzzy string match,NA,CDP:10300,CDP:10300,10300,NA,NA,G050103000,Cabot city,G0500300,Cabot city,G0500300,Cabot city,G05010300,Cabot city,G05010300,Cabot city,G05010300,Cabot city,G05010300,NA,NA,NA
00038,place,AR,Calico Rock,Calico Rock,NA,1,https://justice.tougaloo.edu/sundowntown/calico-rock-ar/,Probable,Don't Know,Probably,Unknown,Black,NA,Census fuzzy string match,NA,CDP:10570,CDP:10570,10570,NA,NA,G050105700,Calico Rock city,G0500305,Calico Rock city,G0500305,Calico Rock city,G05010570,Calico Rock city,G05010570,Calico Rock city,G05010570,Calico Rock city,G05010570,NA,NA,NA
00039,place,AR,Cammack Village,Cammack Village,NA,1,https://justice.tougaloo.edu/sundowntown/cammack-village-ar/,Probable,Don't Know,"Probably Not, Although Still Very Few Black People",Unknown,Black,"Cammack Village was originally military housing,
formed in 1943. It is now a suburb entirely
surrounded by Little Rock. A city government official
says it would have been impossible for a black family
to move in prior to at least 1957.",Census fuzzy string match,NA,CDP:10780,CDP:10780,10780,NA,NA,G050107800,Cammack Village city,G0500320,Cammack Village city,G0500320,Cammack Village city,G05010780,Cammack Village city,G05010780,Cammack Village city,G05010780,Cammack Village city,G05010780,NA,NA,NA
00040,county,AR,Clay County,Clay County,05021,1,https://justice.tougaloo.edu/sundowntown/clay-county-ar/,Surely,"Perhaps, Some Oral Evidence",Probably,Unknown,Black,"Clay County’s 33 black residents occupy 6
households, with only 1 black householder.",Census fuzzy string match,NA,county:05021,county:05021,NA,NA,05021,NA,NA,G0500210,NA,G0500210,NA,G0500210,NA,G0500210,NA,G0500210,NA,G0500210,NA,Clay County,G0500210
00041,county,AR,Cleburne County,Cleburne County,05023,1,https://justice.tougaloo.edu/sundowntown/cleburne-county-ar/,Probable,Don't Know,Don’t Know,Unknown,Black,NA,Census fuzzy string match,NA,county:05023,county:05023,NA,NA,05023,NA,NA,G0500230,NA,G0500230,NA,G0500230,NA,G0500230,NA,G0500230,NA,G0500230,NA,Cleburne County,G0500230
00042,place,AR,Cotter,Cotter,NA,1,https://justice.tougaloo.edu/sundowntown/cotter-ar/,Probable,Don't Know,Probably,Unknown,Black,"In 1906 every black resident was cleansed from
Cotter, in Baxter County. The newspaper account
noted that “every [black] family was expelled – even
the one well-respected one. He was given more time
than the others.”",Census fuzzy string match,NA,CDP:15490,CDP:15490,15490,NA,NA,G050154900,Cotter city,G0500450,Cotter city,G0500450,Cotter city,G05015490,Cotter city,G05015490,Cotter city,G05015490,Cotter city,G05015490,NA,NA,NA
00044,place,AR,Decatur,Decatur,NA,1,https://justice.tougaloo.edu/sundowntown/decatur-ar/,Probable,Don't Know,Probably,Unknown,Black,NA,Census fuzzy string match,NA,CDP:17740,CDP:17740,17740,NA,NA,G050177400,Decatur city,G0500510,Decatur city,G0500510,Decatur city,G05017740,Decatur city,G05017740,Decatur city,G05017740,Decatur city,G05017740,NA,NA,NA
00045,place,AR,Delight,Delight,NA,1,https://justice.tougaloo.edu/sundowntown/delight-ar/,Possible,Don't Know,Don’t Know,Unknown,Black,"Some residents of Delight perceive Antoine (9 black
residents out of 156 total) as “black”. A University of
the Ozarks student whose mother lives in Delight
reports that her mother gets grief from white
neighbors for having black friends.",Census fuzzy string match,NA,CDP:18100,CDP:18100,18100,NA,NA,G050181000,Delight city,G0500525,Delight city,G0500525,Delight city,G05018100,Delight city,G05018100,Delight city,G05018100,Delight city,G05018100,NA,NA,NA
00046,place,AR,Desha,Desha,NA,1,https://justice.tougaloo.edu/sundowntown/desha-ar/,Possible,Don't Know,Don’t Know,NA,Black,According to one source:,Census fuzzy string match,NA,CDP:18580,CDP:18580,18580,NA,NA,G050185800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
00047,place,AR,Diamond City,Diamond City,NA,1,https://justice.tougaloo.edu/sundowntown/diamond-city-ar/,Probable,Don't Know,Probably,Unknown,Black,NA,Census fuzzy string match,NA,CDP:18850,CDP:18850,18850,NA,NA,G050188500,Diamond City city,G0500563,Diamond City city,G0500563,Diamond City city,G05018850,Diamond City city,G05018850,Diamond City city,G05018850,Diamond City city,G05018850,NA,NA,NA
